"team","team_ppg","team_apg","team_fgm","team_fga","fg_pct_team"
"PHI","281","64","102","231","44"
"NOP","253","67","94","210","45"
"DAL","242","53","91","184","49"
"CHO","240","63","87","207","42"
"ATL","231","50","84","178","47"
"BRK","228","59","81","189","43"
"TOR","208","51","77","171","45"
"WAS","207","48","76","172","44"
"LAL","200","47","72","155","46"
"CHI","193","49","71","149","48"
"UTA","192","41","69","155","45"
"GSW","191","51","68","154","44"
"MIA","188","46","68","148","46"
"MIL","185","45","68","141","48"
"SAC","183","45","68","146","47"
"CLE","180","40","66","140","47"
"DET","179","43","66","144","46"
"LAC","179","40","66","137","48"
"MEM","178","43","65","140","46"
"SAS","171","46","64","136","47"
"PHO","167","39","61","128","47"
"IND","165","39","62","126","49"
"OKC","163","36","60","126","48"
"HOU","159","31","59","129","46"
"POR","159","35","59","133","44"
"ORL","156","35","56","127","44"
"BOS","156","34","56","123","45"
"NYK","155","37","58","121","48"
"DEN","153","40","58","116","50"
"MIN","138","35","49","107","46"
"3TM","25","8","9","20","43"
