"player","team","fg_pct","threep_pct","ft_pct"
"Ivica Zubac","LAC","0.628",NULL,"0.661"
"Jakob Poeltl","TOR","0.627","0.333","0.674"
"Mark Williams","CHO","0.604","0","0.804"
"Giannis Antetokounmpo","MIL","0.601","0.222","0.617"
"Domantas Sabonis","SAC","0.59","0.417","0.754"
"Christian Braun","DEN","0.58","0.397","0.827"
"Nikola Jokić","DEN","0.576","0.417","0.8"
"Zion Williamson","NOP","0.567","0.231","0.656"
"Deandre Ayton","POR","0.566","0.188","0.667"
"Evan Mobley","CLE","0.557","0.37","0.725"
